fir_id,case_id,date,police_station,complaint_text
FIR00001,CASE0001,2025-12-15,Secunderabad Police Station,Initial synthetic FIR for planted crime network CASE0001. Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00002,CASE0002,2024-12-12,Sector 17 Police Station,Initial synthetic FIR for planted crime network CASE0002. Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00003,CASE0003,2022-07-20,Satellite Police Station,Initial synthetic FIR for planted crime network CASE0003. Missing person report filed after individual failed to return from scheduled business travel.
FIR00004,CASE0004,2024-05-24,Gomti Nagar Police Station,Initial synthetic FIR for planted crime network CASE0004. Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00005,CASE0005,2022-06-26,Koramangala Police Station,Initial synthetic FIR for planted crime network CASE0005. Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00006,CASE0006,2025-03-08,Malviya Nagar Police Station,Initial synthetic FIR for planted crime network CASE0006. Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00007,CASE0007,2024-05-07,Koregaon Park Police Station,Initial synthetic FIR for planted crime network CASE0007. Missing person report filed after individual failed to return from scheduled business travel.
FIR00008,CASE0008,2024-07-27,Secunderabad Police Station,Initial synthetic FIR for planted crime network CASE0008. Cheating case registered involving forged property documents and misrepresentation.
FIR00009,CASE0009,2022-10-23,Malviya Nagar Police Station,Initial synthetic FIR for planted crime network CASE0009. Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00010,CASE0010,2023-01-07,Secunderabad Police Station,Initial synthetic FIR for planted crime network CASE0010. Cheating case registered involving forged property documents and misrepresentation.
FIR00011,CASE0011,2023-04-06,Satellite Police Station,Initial synthetic FIR for planted crime network CASE0011. Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00012,CASE0012,2024-10-28,Gomti Nagar Police Station,Initial synthetic FIR for planted crime network CASE0012. Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00013,CASE0013,2025-02-14,Gomti Nagar Police Station,Initial synthetic FIR for planted crime network CASE0013. Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00014,CASE0014,2023-12-25,Satellite Police Station,Initial synthetic FIR for planted crime network CASE0014. Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00015,CASE0015,2022-11-26,Whitefield Police Station,Initial synthetic FIR for planted crime network CASE0015. Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00016,CASE0016,2025-08-05,Andheri Police Station,Initial synthetic FIR for planted crime network CASE0016. Assault complaint filed following dispute at commercial premises; medical report attached. Subject also referred to as Vikram Vera. Phone noted in station diary as 6796859596. Subject also referred to as Gopal Ansary. Phone noted in station diary as 6001707862. Subject also referred to as Salman Dai. Phone noted in station diary as 6725877393. Subject also referred to as Rohan Singe. Phone noted in station diary as 7524392225.
FIR00017,CASE0017,2023-03-15,MG Road Police Station,Initial synthetic FIR for planted crime network CASE0017. Money laundering indicators observed through layered transactions across multiple accounts.
FIR00018,CASE0018,2023-01-17,Colaba Police Station,Initial synthetic FIR for planted crime network CASE0018. Vehicle theft reported from residential parking area; CCTV footage requested. Subject also referred to as Rizwan Pattel. Phone noted in station diary as 7997418533. Subject also referred to as Sneha Mukherjee. Phone noted in station diary as 8058717692. Subject also referred to as Zara Sharmma. Phone noted in station diary as 9422972252. Subject also referred to as Fatima Menonn. Phone noted in station diary as 6922884980.
FIR00019,CASE0019,2022-04-29,T Nagar Police Station,Initial synthetic FIR for planted crime network CASE0019. Extortion complaint regarding repeated threatening calls demanding payment.
FIR00020,CASE0020,2023-08-12,Whitefield Police Station,Initial synthetic FIR for planted crime network CASE0020. Narcotics-related intelligence forwarded for verification and coordinated follow-up.
