surveillance_id,case_id,timestamp,location,report_text
SUR00001,CASE0001,2025-12-04 05:29:56,Guwahati Plaza 152,Field unit observed individual recorded as 'Rahul Mukherjei' meeting associates near Mumbai Hub 76. Possible link to ongoing case activity.
SUR00002,CASE0001,2024-12-22 22:11:26,Pune Market 17,Field unit observed individual recorded as 'Rahul Mukherjei' meeting associates near Lucknow Junction 137. Possible link to ongoing case activity.
SUR00003,CASE0001,2025-03-04 21:22:12,Delhi Colony 133,Field unit observed individual recorded as 'Rahul Mukherjei' meeting associates near Patna Market 4. Possible link to ongoing case activity.
SUR00004,CASE0001,2023-04-22 20:03:01,Guwahati Hub 60,Field unit observed individual recorded as 'Gopal Naia' meeting associates near Hyderabad Plaza 22. Possible link to ongoing case activity.
SUR00005,CASE0001,2025-06-28 09:56:31,Nagpur Market 32,Field unit observed individual recorded as 'Gopal Naia' meeting associates near Pune Tower 71. Possible link to ongoing case activity.
SUR00006,CASE0001,2023-09-11 18:34:06,Hyderabad Colony 145,Field unit observed individual recorded as 'Gopal Naia' meeting associates near Bengaluru Tower 105. Possible link to ongoing case activity.
SUR00007,CASE0001,2023-01-25 06:03:04,Kochi Park 115,Field unit observed individual recorded as 'Sunil Patee' meeting associates near Pune Market 65. Possible link to ongoing case activity.
SUR00008,CASE0001,2024-08-30 11:36:55,Delhi Market 141,Field unit observed individual recorded as 'Sunil Patee' meeting associates near Ranchi Plaza 100. Possible link to ongoing case activity.
SUR00009,CASE0001,2023-11-14 09:38:18,Mumbai Hub 138,Field unit observed individual recorded as 'Sunil Patee' meeting associates near Bhopal Colony 97. Possible link to ongoing case activity.
SUR00010,CASE0001,2023-04-29 22:21:02,Hyderabad Hub 16,Field unit observed individual recorded as 'Rohan Mirzza' meeting associates near Kochi Park 117. Possible link to ongoing case activity.
SUR00011,CASE0001,2025-05-02 01:39:47,Nagpur Hub 26,Field unit observed individual recorded as 'Rohan Mirzza' meeting associates near Chandigarh Junction 44. Possible link to ongoing case activity.
