location_id,name,city
L0001,Chandigarh Hub 1,Chandigarh
L0002,Indore Hub 2,Indore
L0003,Delhi Hub 3,Delhi
L0004,Patna Market 4,Patna
L0005,Chennai Hub 5,Chennai
L0006,Visakhapatnam Colony 6,Visakhapatnam
L0007,Hyderabad Park 7,Hyderabad
L0008,Delhi Junction 8,Delhi
L0009,Surat Hub 9,Surat
L0010,Hyderabad Tower 10,Hyderabad
L0011,Guwahati Colony 11,Guwahati
L0012,Hyderabad Hub 12,Hyderabad
L0013,Patna Tower 13,Patna
L0014,Visakhapatnam Tower 14,Visakhapatnam
L0015,Kolkata Park 15,Kolkata
L0016,Hyderabad Hub 16,Hyderabad
L0017,Pune Market 17,Pune
L0018,Kolkata Park 18,Kolkata
L0019,Lucknow Park 19,Lucknow
L0020,Surat Hub 20,Surat
L0021,Visakhapatnam Junction 21,Visakhapatnam
L0022,Hyderabad Plaza 22,Hyderabad
L0023,Indore Market 23,Indore
L0024,Chennai Tower 24,Chennai
L0025,Pune Junction 25,Pune
L0026,Nagpur Hub 26,Nagpur
L0027,Mumbai Plaza 27,Mumbai
L0028,Kochi Market 28,Kochi
L0029,Lucknow Colony 29,Lucknow
L0030,Kolkata Tower 30,Kolkata
L0031,Jaipur Market 31,Jaipur
L0032,Nagpur Market 32,Nagpur
L0033,Ahmedabad Plaza 33,Ahmedabad
L0034,Visakhapatnam Junction 34,Visakhapatnam
L0035,Ahmedabad Plaza 35,Ahmedabad
L0036,Nagpur Junction 36,Nagpur
L0037,Nagpur Junction 37,Nagpur
L0038,Visakhapatnam Hub 38,Visakhapatnam
L0039,Indore Tower 39,Indore
L0040,Surat Plaza 40,Surat
L0041,Mumbai Park 41,Mumbai
L0042,Visakhapatnam Tower 42,Visakhapatnam
L0043,Bengaluru Market 43,Bengaluru
L0044,Chandigarh Junction 44,Chandigarh
L0045,Kolkata Junction 45,Kolkata
L0046,Delhi Junction 46,Delhi
L0047,Delhi Park 47,Delhi
L0048,Chennai Colony 48,Chennai
L0049,Delhi Park 49,Delhi
L0050,Visakhapatnam Market 50,Visakhapatnam
L0051,Nagpur Junction 51,Nagpur
L0052,Patna Hub 52,Patna
L0053,Lucknow Park 53,Lucknow
L0054,Chandigarh Market 54,Chandigarh
L0055,Mumbai Hub 55,Mumbai
L0056,Jaipur Colony 56,Jaipur
L0057,Guwahati Plaza 57,Guwahati
L0058,Bhopal Junction 58,Bhopal
L0059,Pune Colony 59,Pune
L0060,Guwahati Hub 60,Guwahati
L0061,Guwahati Park 61,Guwahati
L0062,Surat Park 62,Surat
L0063,Indore Hub 63,Indore
L0064,Bhopal Hub 64,Bhopal
L0065,Pune Market 65,Pune
L0066,Bengaluru Tower 66,Bengaluru
L0067,Patna Market 67,Patna
L0068,Bhopal Park 68,Bhopal
L0069,Chennai Colony 69,Chennai
L0070,Patna Market 70,Patna
L0071,Pune Tower 71,Pune
L0072,Visakhapatnam Colony 72,Visakhapatnam
L0073,Lucknow Colony 73,Lucknow
L0074,Chandigarh Hub 74,Chandigarh
L0075,Kolkata Tower 75,Kolkata
L0076,Mumbai Hub 76,Mumbai
L0077,Patna Colony 77,Patna
L0078,Jaipur Plaza 78,Jaipur
L0079,Lucknow Park 79,Lucknow
L0080,Nagpur Colony 80,Nagpur
L0081,Hyderabad Park 81,Hyderabad
L0082,Delhi Hub 82,Delhi
L0083,Indore Market 83,Indore
L0084,Visakhapatnam Market 84,Visakhapatnam
L0085,Hyderabad Tower 85,Hyderabad
L0086,Hyderabad Junction 86,Hyderabad
L0087,Lucknow Colony 87,Lucknow
L0088,Mumbai Junction 88,Mumbai
L0089,Chandigarh Plaza 89,Chandigarh
L0090,Ranchi Colony 90,Ranchi
L0091,Patna Hub 91,Patna
L0092,Guwahati Plaza 92,Guwahati
L0093,Indore Market 93,Indore
L0094,Lucknow Park 94,Lucknow
L0095,Ranchi Park 95,Ranchi
L0096,Chennai Park 96,Chennai
L0097,Bhopal Colony 97,Bhopal
L0098,Ahmedabad Tower 98,Ahmedabad
L0099,Chandigarh Colony 99,Chandigarh
L0100,Ranchi Plaza 100,Ranchi
L0101,Indore Junction 101,Indore
L0102,Hyderabad Plaza 102,Hyderabad
L0103,Nagpur Hub 103,Nagpur
L0104,Nagpur Tower 104,Nagpur
L0105,Bengaluru Tower 105,Bengaluru
L0106,Nagpur Plaza 106,Nagpur
L0107,Kochi Plaza 107,Kochi
L0108,Surat Tower 108,Surat
L0109,Indore Park 109,Indore
L0110,Visakhapatnam Junction 110,Visakhapatnam
L0111,Ranchi Colony 111,Ranchi
L0112,Visakhapatnam Hub 112,Visakhapatnam
L0113,Bhopal Hub 113,Bhopal
L0114,Jaipur Colony 114,Jaipur
L0115,Kochi Park 115,Kochi
L0116,Nagpur Junction 116,Nagpur
L0117,Kochi Park 117,Kochi
L0118,Nagpur Hub 118,Nagpur
L0119,Kolkata Plaza 119,Kolkata
L0120,Visakhapatnam Plaza 120,Visakhapatnam
L0121,Kochi Park 121,Kochi
L0122,Surat Plaza 122,Surat
L0123,Visakhapatnam Hub 123,Visakhapatnam
L0124,Visakhapatnam Tower 124,Visakhapatnam
L0125,Pune Junction 125,Pune
L0126,Kochi Tower 126,Kochi
L0127,Kolkata Colony 127,Kolkata
L0128,Indore Tower 128,Indore
L0129,Guwahati Hub 129,Guwahati
L0130,Nagpur Tower 130,Nagpur
L0131,Hyderabad Market 131,Hyderabad
L0132,Ranchi Market 132,Ranchi
L0133,Delhi Colony 133,Delhi
L0134,Chennai Tower 134,Chennai
L0135,Indore Market 135,Indore
L0136,Indore Market 136,Indore
L0137,Lucknow Junction 137,Lucknow
L0138,Mumbai Hub 138,Mumbai
L0139,Chennai Plaza 139,Chennai
L0140,Ranchi Junction 140,Ranchi
L0141,Delhi Market 141,Delhi
L0142,Lucknow Plaza 142,Lucknow
L0143,Kolkata Hub 143,Kolkata
L0144,Kochi Tower 144,Kochi
L0145,Hyderabad Colony 145,Hyderabad
L0146,Indore Tower 146,Indore
L0147,Delhi Junction 147,Delhi
L0148,Kochi Colony 148,Kochi
L0149,Lucknow Colony 149,Lucknow
L0150,Surat Market 150,Surat
L0151,Bhopal Junction 151,Bhopal
L0152,Guwahati Plaza 152,Guwahati
L0153,Chennai Colony 153,Chennai
L0154,Surat Hub 154,Surat
L0155,Surat Park 155,Surat
L0156,Surat Plaza 156,Surat
L0157,Chandigarh Tower 157,Chandigarh
L0158,Guwahati Park 158,Guwahati
L0159,Guwahati Junction 159,Guwahati
L0160,Bhopal Plaza 160,Bhopal
