event_id,person_id,event_type,timestamp,description,case_id
EV00001,P01584,Meeting,2023-06-10 23:21:11,Meeting noted near Hyderabad Hub 12 in Lucknow.,CASE0148
EV00002,P01183,Meeting,2023-09-12 23:42:35,Meeting noted near Visakhapatnam Hub 123 in Bhopal.,CASE0232
EV00003,P01814,Travel,2022-06-11 19:06:12,Travel noted near Visakhapatnam Junction 34 in Bhopal.,CASE0135
EV00004,P01131,Meeting,2025-06-18 02:14:37,Meeting noted near Kochi Park 121 in Kochi.,CASE0171
EV00005,P01709,Financial Activity,2022-12-02 01:23:38,Financial Activity noted near Nagpur Market 32 in Patna.,CASE0012
EV00006,P00229,Observation,2023-11-13 02:51:54,Observation noted near Surat Hub 9 in Visakhapatnam.,CASE0154
EV00007,P01658,Property Transfer,2024-06-23 02:44:35,Property Transfer noted near Visakhapatnam Market 50 in Nagpur.,CASE0023
EV00008,P00452,Property Transfer,2024-01-30 18:42:42,Property Transfer noted near Visakhapatnam Junction 34 in Chandigarh.,CASE0025
EV00009,P00776,Financial Activity,2025-03-16 21:26:19,Financial Activity noted near Bhopal Junction 58 in Delhi.,CASE0196
EV00010,P00697,Meeting,2022-02-23 16:40:43,Meeting noted near Kochi Plaza 107 in Chennai.,CASE0165
EV00011,P01828,Property Transfer,2022-05-27 20:07:55,Property Transfer noted near Bhopal Park 68 in Chandigarh.,CASE0184
EV00012,P00062,Travel,2025-06-19 12:27:51,Travel noted near Patna Hub 52 in Lucknow.,CASE0239
EV00013,P00394,Property Transfer,2023-09-03 20:54:00,Property Transfer noted near Hyderabad Park 7 in Guwahati.,CASE0070
EV00014,P00776,Meeting,2022-07-13 23:00:54,Meeting noted near Surat Tower 108 in Delhi.,CASE0051
EV00015,P01814,Travel,2023-03-07 16:37:57,Travel noted near Hyderabad Tower 85 in Bhopal.,CASE0021
EV00016,P00334,Incident,2023-09-14 10:01:56,Incident noted near Hyderabad Colony 145 in Bhopal.,CASE0002
EV00017,P01233,Observation,2025-06-08 09:55:59,Observation noted near Indore Tower 128 in Surat.,CASE0237
EV00018,P01564,Observation,2025-07-05 13:04:02,Observation noted near Chennai Plaza 139 in Kolkata.,CASE0097
EV00019,P01386,Incident,2025-09-25 12:04:28,Incident noted near Visakhapatnam Junction 110 in Ahmedabad.,CASE0085
EV00020,P00467,Meeting,2022-09-03 06:02:24,Meeting noted near Hyderabad Tower 85 in Chennai.,CASE0037
EV00021,P01889,Meeting,2022-07-01 10:31:55,Meeting noted near Jaipur Colony 114 in Patna.,CASE0149
EV00022,P01814,Travel,2023-06-27 17:39:52,Travel noted near Guwahati Park 61 in Bhopal.,CASE0130
EV00023,P00143,Observation,2023-11-20 01:46:46,Observation noted near Delhi Hub 82 in Mumbai.,CASE0162
EV00024,P01555,Financial Activity,2023-02-13 05:10:47,Financial Activity noted near Ranchi Market 132 in Guwahati.,CASE0184
EV00025,P00736,Observation,2023-08-15 06:34:26,Observation noted near Bhopal Junction 58 in Ahmedabad.,CASE0078
EV00026,P01117,Incident,2024-05-26 14:32:42,Incident noted near Visakhapatnam Market 50 in Bengaluru.,CASE0233
EV00027,P00066,Incident,2022-11-18 12:09:41,Incident noted near Lucknow Park 94 in Patna.,CASE0172
EV00028,P01555,Incident,2023-12-20 14:48:38,Incident noted near Chennai Tower 134 in Guwahati.,CASE0240
