case_id,title,description,status,created_at
CASE0001,Synthetic Fraud Ring 1,Synthetic fraud ring case with planted multi-source evidence.,OPEN,2025-01-30 15:54:17+00
CASE0002,Synthetic Money Laundering 2,Synthetic money laundering case with planted multi-source evidence.,OPEN,2023-01-13 17:22:53+00
CASE0003,Synthetic Cyber Fraud 3,Synthetic cyber fraud case with planted multi-source evidence.,OPEN,2022-04-04 23:16:29+00
CASE0004,Synthetic Extortion Ring 4,Synthetic extortion ring case with planted multi-source evidence.,OPEN,2023-11-09 01:35:45+00
CASE0005,Synthetic Theft Ring 5,Synthetic theft ring case with planted multi-source evidence.,OPEN,2023-04-29 09:56:18+00
CASE0006,Synthetic Smuggling Chain 6,Synthetic smuggling chain case with planted multi-source evidence.,OPEN,2025-04-19 16:34:26+00
CASE0007,Synthetic Fraud Ring 7,Synthetic fraud ring case with planted multi-source evidence.,OPEN,2023-04-25 12:12:58+00
CASE0008,Synthetic Money Laundering 8,Synthetic money laundering case with planted multi-source evidence.,OPEN,2023-07-27 22:58:43+00
CASE0009,Synthetic Cyber Fraud 9,Synthetic cyber fraud case with planted multi-source evidence.,OPEN,2024-03-15 04:31:52+00
CASE0010,Synthetic Extortion Ring 10,Synthetic extortion ring case with planted multi-source evidence.,OPEN,2022-03-31 00:57:24+00
CASE0011,Synthetic Theft Ring 11,Synthetic theft ring case with planted multi-source evidence.,OPEN,2025-08-26 22:44:19+00
CASE0012,Synthetic Smuggling Chain 12,Synthetic smuggling chain case with planted multi-source evidence.,OPEN,2022-10-31 13:18:20+00
CASE0013,Synthetic Fraud Ring 13,Synthetic fraud ring case with planted multi-source evidence.,OPEN,2024-09-22 01:36:48+00
CASE0014,Synthetic Money Laundering 14,Synthetic money laundering case with planted multi-source evidence.,OPEN,2025-05-04 20:45:24+00
CASE0015,Synthetic Cyber Fraud 15,Synthetic cyber fraud case with planted multi-source evidence.,OPEN,2024-11-03 11:37:50+00
CASE0016,Synthetic Extortion Ring 16,Synthetic extortion ring case with planted multi-source evidence.,OPEN,2024-07-20 16:45:33+00
CASE0017,Synthetic Theft Ring 17,Synthetic theft ring case with planted multi-source evidence.,OPEN,2024-05-29 09:37:20+00
CASE0018,Synthetic Smuggling Chain 18,Synthetic smuggling chain case with planted multi-source evidence.,OPEN,2024-08-15 01:59:23+00
CASE0019,Synthetic Fraud Ring 19,Synthetic fraud ring case with planted multi-source evidence.,OPEN,2022-09-10 02:14:11+00
CASE0020,Synthetic Money Laundering 20,Synthetic money laundering case with planted multi-source evidence.,OPEN,2024-02-10 09:38:08+00
CASE0021,Synthetic Cyber Fraud 21,Synthetic cyber fraud case with planted multi-source evidence.,OPEN,2024-09-19 06:57:42+00
CASE0022,Synthetic Extortion Ring 22,Synthetic extortion ring case with planted multi-source evidence.,OPEN,2023-12-26 17:45:03+00
CASE0023,Synthetic Theft Ring 23,Synthetic theft ring case with planted multi-source evidence.,OPEN,2024-01-17 19:31:03+00
CASE0024,Synthetic Smuggling Chain 24,Synthetic smuggling chain case with planted multi-source evidence.,OPEN,2025-06-08 01:15:20+00
CASE0025,Synthetic Fraud Ring 25,Synthetic fraud ring case with planted multi-source evidence.,OPEN,2023-09-14 20:44:03+00
CASE0026,Synthetic Investigation 0026,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.,OPEN,2023-07-18 14:48:13+00
CASE0027,Synthetic Investigation 0027,Assault complaint filed following dispute at commercial premises; medical report attached.,OPEN,2022-02-16 15:08:12+00
CASE0028,Synthetic Investigation 0028,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,OPEN,2023-03-28 09:27:59+00
